Sample in Buffer,Sample in Window,TRIGGER,data_out_valid,data_out_Q[15:0],data_out_I[15:0],out_valid,div[15:0],yq[17:0],yi[17:0],fir_data_Q[15:0],fir_data_I[15:0],adc_valid,adc_data_q1[11:0],adc_data_i1[11:0],w[15:0],e[15:0],u[15:0],clk_4MHz,<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
65,65,0,0,-3947,4307,0,1961,-2079,-20636,20592,f5ef,1,-1397,260,406e,0000,7028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,0,1,-3947,4307,0,1961,-2079,-20636,21038,f3bc,0,-1397,260,406e,0000,7028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,0,0,-3947,4307,0,1961,-2079,-20636,21038,f3bc,1,-1032,158,406e,0000,7028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,0,0,-3947,4307,1,1961,-2079,-20636,21372,f21e,0,-1032,158,406e,dff6,7028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,0,0,-3947,4307,1,1961,-2079,-20636,21372,f21e,1,-547,5,406e,dff6,7028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,0,0,-3947,4307,1,1961,-2079,-20636,21447,f1d5,0,-547,5,406e,dff6,7028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,0,0,-3947,4307,1,1961,-2079,-20636,21447,f1d5,1,8,-166,406e,dff6,7028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,0,0,-3947,4307,0,1961,-2079,-20636,21135,f390,0,8,-166,406e,d51a,6e70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,0,0,-3947,4307,0,1961,-2079,-20636,21135,f390,1,550,-313,406e,d51a,6e70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,0,0,4422,4007,0,1961,-2079,-20636,20350,f7c7,0,550,-313,406e,d51a,6e70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,0,0,4422,4007,0,1961,-2079,-20636,20350,f7c7,1,997,-398,406e,d51a,6e70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,0,0,4422,4007,0,1961,1391,21606,19053,fea8,0,997,-398,3f54,0000,6e70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,0,0,4422,4007,0,1961,1391,21606,19053,fea8,1,1309,-405,3f54,0000,6e70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,0,0,4422,4007,0,1961,1391,21606,17264,080b,0,1309,-405,3f54,0000,6e70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,0,0,4422,4007,0,1961,1391,21606,17264,080b,1,1482,-330,3f54,0000,6e70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,0,0,4422,4007,0,1961,1391,21606,15056,1374,0,1482,-330,3f54,0000,6cb8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,0,0,4422,4007,0,1961,1391,21606,15056,1374,1,1530,-176,3f54,0000,6cb8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,0,1,4422,4007,0,1961,1391,21606,12543,2023,0,1530,-176,3f54,0000,6cb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,0,0,4422,4007,0,1961,1391,21606,12543,2023,1,1458,56,3f54,0000,6cb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,0,0,4422,4007,1,1961,1391,21606,9869,2d2c,0,1458,56,3f54,0000,6cb8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,0,0,4422,4007,1,1961,1391,21606,9869,2d2c,1,1269,355,3f54,0000,6cb8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,0,0,4422,4007,1,1961,1391,21606,7193,399b,0,1269,355,3f54,0000,6cb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,0,0,4422,4007,1,1961,1391,21606,7193,399b,1,983,683,3f54,0000,6cb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,0,0,4422,4007,0,1961,1391,21606,4665,4492,0,983,683,3f54,0000,6f68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,0,0,4422,4007,0,1961,1391,21606,4665,4492,1,646,991,3f54,0000,6f68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,0,0,-4133,4284,0,1961,1391,21606,2423,4d68,0,646,991,3f54,0000,6f68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,0,0,-4133,4284,0,1961,1391,21606,2423,4d68,1,325,1234,3f54,0000,6f68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,0,0,-4133,4284,0,1961,2403,18461,575,53ba,0,325,1234,4000,0000,6f68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,0,0,-4133,4284,0,1961,2403,18461,575,53ba,1,76,1394,4000,0000,6f68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,0,0,-4133,4284,0,1961,2403,18461,-805,5775,0,76,1394,4000,0000,6f68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,0,0,-4133,4284,0,1961,2403,18461,-805,5775,1,-69,1469,4000,0000,6f68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,0,0,-4133,4284,0,1961,2403,18461,-1674,58d3,0,-69,1469,4000,0000,7218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97,0,0,-4133,4284,0,1961,2403,18461,-1674,58d3,1,-102,1459,4000,0000,7218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,0,1,-4133,4284,0,1961,2403,18461,-2027,584b,0,-102,1459,4000,0000,7218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,0,0,-4133,4284,0,1961,2403,18461,-2027,584b,1,-25,1365,4000,0000,7218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,1,0,-4133,4284,1,1961,2403,18461,-1891,5678,0,-25,1365,4000,1630,7218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
